Station,AirQuality,Longitude,Latitude,NO2 Hour,NO2 Quality,NO2 Value,Month,day
Barcelona - Sants,Good,2.1331,41.3788,0.0,Good,84.0,1,11
Barcelona - Eixample,Moderate,2.1538,41.3853,0.0,Moderate,113.0,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,0.0,Good,73.0,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0.0,Good,86.0,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0.0,Good,69.0,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,23.0,Good,57.0,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,23.0,Good,86.0,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,23.0,Good,3.0,1,11
Barcelona - Sants,Good,2.1331,41.3788,0.0,Good,62.0,1,11
Barcelona - Eixample,Good,2.1538,41.3853,0.0,Good,80.0,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,0.0,Good,59.0,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0.0,Good,78.0,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0.0,Good,45.0,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,0.0,Good,38.0,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,0.0,Good,75.0,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,0.0,Good,8.0,1,11
Barcelona - Sants,Good,2.1331,41.3788,1.0,Good,46.0,1,11
Barcelona - Eixample,Good,2.1538,41.3853,1.0,Good,64.0,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,1.0,Good,41.0,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,1.0,Good,56.0,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,1.0,Good,27.0,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,1.0,Good,28.0,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,1.0,Good,51.0,1,11
