iter	Passed	Remaining
0	1	185
1	9	460
2	11	371
3	18	441
4	25	479
5	27	432
6	34	454
7	35	404
8	37	380
9	38	348
10	41	337
11	44	323
12	48	322
13	54	334
14	60	345
15	61	325
16	65	318
17	71	325
18	77	332
19	83	334
20	89	336
21	92	326
22	93	313
23	99	315
24	105	317
25	107	305
26	113	306
27	119	307
28	125	306
29	127	298
30	129	287
31	135	287
32	138	281
33	141	274
34	146	272
35	150	267
36	156	266
37	162	264
38	168	263
39	174	261
40	179	258
41	185	256
42	187	248
43	192	245
44	200	245
45	207	243
46	209	236
47	215	233
48	222	231
49	229	229
50	232	223
51	238	219
52	244	216
53	250	213
54	251	206
55	256	201
56	262	197
57	268	194
58	273	190
59	279	186
60	285	182
61	291	178
62	296	174
63	300	169
64	307	165
65	313	161
66	319	157
67	325	153
68	331	148
69	333	142
70	336	137
71	342	133
72	349	129
73	355	124
74	362	120
75	369	116
76	376	112
77	382	107
78	389	103
79	393	98
80	399	93
81	406	89
82	412	84
83	415	79
84	420	74
85	427	69
86	433	64
87	439	59
88	445	55
89	451	50
90	458	45
91	464	40
92	470	35
93	476	30
94	482	25
95	489	20
96	495	15
97	499	10
98	505	5
99	512	0
