Station,AirQuality,Longitude,Latitude,NO2 Hour,NO2 Quality,NO2 Value,Month,day
Barcelona - Sants,Good,2.1331,41.3788,0,Good,84,1,11
Barcelona - Eixample,Moderate,2.1538,41.3853,0,Moderate,113,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,0,Good,73,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0,Good,86,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0,Good,69,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,23,Good,57,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,23,Good,86,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,23,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,0,Good,62,1,11
Barcelona - Eixample,Good,2.1538,41.3853,0,Good,80,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,0,Good,59,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0,Good,78,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0,Good,45,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,0,Good,38,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,0,Good,75,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,0,Good,8,1,11
Barcelona - Sants,Good,2.1331,41.3788,1,Good,46,1,11
Barcelona - Eixample,Good,2.1538,41.3853,1,Good,64,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,1,Good,41,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,1,Good,56,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,1,Good,27,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,1,Good,28,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,1,Good,51,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,1,Good,11,1,11
Barcelona - Sants,Good,2.1331,41.3788,1,Good,46,1,11
Barcelona - Eixample,Good,2.1538,41.3853,2,Good,44,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,2,Good,27,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,2,Good,29,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,2,Good,14,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,2,Good,19,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,2,Good,34,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,2,Good,6,1,11
Barcelona - Sants,--,2.1331,41.3788,2,--,,1,11
Barcelona - Eixample,Good,2.1538,41.3853,3,Good,34,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,3,Good,18,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,3,Good,19,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,3,Good,11,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,3,Good,7,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,3,Good,20,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,3,Good,4,1,11
Barcelona - Sants,--,2.1331,41.3788,2,--,,1,11
Barcelona - Eixample,Good,2.1538,41.3853,4,Good,26,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,4,Good,16,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,4,Good,26,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,4,Good,7,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,4,Good,8,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,4,Good,25,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,4,Good,2,1,11
Barcelona - Sants,--,2.1331,41.3788,4,--,,1,11
Barcelona - Eixample,Good,2.1538,41.3853,5,Good,31,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,5,Good,19,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,5,Good,18,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,5,Good,8,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,5,Good,11,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,5,Good,27,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,5,Good,2,1,11
Barcelona - Sants,Good,2.1331,41.3788,6,Good,17,1,11
Barcelona - Eixample,Good,2.1538,41.3853,6,Good,37,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,6,Good,19,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,6,Good,17,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,6,Good,11,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,6,Good,17,1,11
